2015,third quarter,2094
2020,forth quarter,3230
2014,third quarter,1993
2014,second quarter,1428
2011,forth quarter,5320
2016,second quarter,1309
2016,forth quarter,3378
2019,third quarter,2260
2021,fist quarter,62
2017,forth quarter,3169
2016,third quarter,2731
2019,forth quarter,2108
2012,forth quarter,6135
2020,fist quarter,585
2020,second quarter,283
2020,third quarter,2500
2014,forth quarter,2484
2018,third quarter,3016
2021,forth quarter,3
2017,third quarter,3760
2021,third quarter,3
2013,second quarter,652
2018,forth quarter,1856
2013,third quarter,2013
2013,forth quarter,2386
2010,forth quarter,4808
2015,second quarter,1463
2013,fist quarter,867
2015,forth quarter,2576
